student_id,module_id,module_name,module_type,time_finished,days_early,attempts,days_spaced,discussion_id,post_id,is_response
14,60,"Quiz 1",Quiz,1536859034,-17788,1,0,null,null,null
14,61,"Quiz 1",Quiz,1536859155,-17788,1,0,null,null,null
14,62,Q3,Quiz,1537424133,4,1,0,null,null,null
7,60,"Quiz 1",Quiz,1536856226,0,1,0,null,null,null
7,61,"Quiz 1",Quiz,1536856256,0,1,0,null,null,null
12,60,"Quiz 1",Quiz,1537423643,0,1,0,null,null,null
12,63,Q4,Quiz,1537423766,3,1,0,null,null,null
5,29,PA5,Assignment,1537474025,7,null,null,null,null,null
5,60,"Quiz 1",Quiz,1536855813,0,1,0,null,null,null
5,61,"Quiz 1",Quiz,1536855902,0,1,0,null,null,null
5,62,Q3,Quiz,1537118894,0,1,0,null,null,null
13,60,"Quiz 1",Quiz,1536858650,-17788,1,0,null,null,null
13,61,"Quiz 1",Quiz,1536858679,-17788,1,0,null,null,null
13,62,Q3,Quiz,1537423973,4,1,0,null,null,null
13,63,Q4,Quiz,1537424029,3,1,0,null,null,null
15,62,Q3,Quiz,1537424328,4,1,17794.26,null,null,null
11,60,"Quiz 1",Quiz,1536857561,-17788,1,0,null,null,null
11,61,"Quiz 1",Quiz,1536857637,-17788,1,0,null,null,null
11,62,Q3,Quiz,1537423270,4,1,0,null,null,null
11,63,Q4,Quiz,1537423327,3,1,0,null,null,null
8,60,"Quiz 1",Quiz,1536856539,-17788,1,0,null,null,null
3,26,PA3,Assignment,1537117053,7,null,null,null,null,null
3,28,PA5,Assignment,1537473961,7,null,null,null,null,null
3,59,"New Quiz",Quiz,1536265947,0,4,0,null,null,null
3,60,"Quiz 1",Quiz,1536855607,0,1,0,null,null,null
3,61,"Quiz 1",Quiz,1536855729,0,1,0,null,null,null
3,62,Q3,Quiz,1537117303,-17791,1,0,null,null,null
3,63,Q4,Quiz,1537117381,7,1,0,null,null,null
3,2,t,Forum,1537080103,null,null,null,22,42,0
3,2,"Forum Response",Forum,1537080118,null,null,null,22,43,1
10,60,"Quiz 1",Quiz,1536856698,-17788,1,0,null,null,null
10,61,"Quiz 1",Quiz,1536857215,-17788,1,0,null,null,null
10,62,Q3,Quiz,1537423144,4,5,0.03,null,null,null
10,62,Q3,Quiz,,0,0,0,null,null,null
10,62,Q3,Quiz,,0,0,0,null,null,null
10,62,Q3,Quiz,,0,0,0,null,null,null
10,62,Q3,Quiz,,0,0,0,null,null,null
10,63,Q4,Quiz,1537423164,3,1,0,null,null,null
6,27,PA4,Assignment,1537463060,7,null,null,null,null,null
6,59,"New Quiz",Quiz,1536280253,0,5,0,null,null,null
6,60,"Quiz 1",Quiz,1536856079,0,1,0,null,null,null
6,61,"Quiz 1",Quiz,1536856157,0,1,0,null,null,null
6,62,Q3,Quiz,1537164625,0,1,0.01,null,null,null
6,63,Q4,Quiz,1537424448,3,1,3.01,null,null,null
